gse_id,contact_country,date_cleaned,sex,race,sex_ratio,race_dist_score,DEI score
GSE95843,USA,2017-03-03,0.0,0.0,0.0,0.0,0.0
GSE93291,USA,2010-04-22,0.0,0.0,0.0,0.0,0.0
GSE89792,CAN,2016-11-13,0.0,0.0,0.0,0.0,0.0
GSE56960,CHE,2014-04-22,0.0,0.0,0.0,0.0,0.0
GSE94767,GBR,2017-02-10,0.0,0.0,0.0,0.0,0.0
GSE83586,SWE,2016-06-24,0.0,0.0,0.0,0.0,0.0
GSE70461,NOR,2015-07-01,0.0,0.0,0.0,0.0,0.0
GSE60371,ITA,2014-07-30,0.0,0.0,0.0,0.0,0.0
GSE60329,ITA,2014-08-12,0.0,0.0,0.0,0.0,0.0
GSE94524,NLD,2017-01-24,0.0,0.0,0.0,0.0,0.0
GSE94523,NLD,2017-02-06,0.0,0.0,0.0,0.0,0.0
GSE95676,USA,2017-03-03,0.0,0.0,0.0,0.0,0.0
GSE95675,USA,2017-03-03,0.0,0.0,0.0,0.0,0.0
GSE95674,USA,2017-03-03,0.0,0.0,0.0,0.0,0.0
GSE89292,USA,2016-10-28,0.0,0.0,0.0,0.0,0.0
GSE81002,NOR,2014-06-04,0.0,0.0,0.0,0.0,0.0
GSE80999,NOR,2014-06-04,0.0,0.0,0.0,0.0,0.0
GSE79021,USA,2016-03-08,0.0,0.0,0.0,0.0,0.0
GSE59743,USA,2014-07-24,0.0,0.0,0.0,0.0,0.0
GSE83148,USA,2016-06-09,0.0,0.0,0.0,0.0,0.0
GSE66006,DEU,2015-02-17,0.0,0.0,0.0,0.0,0.0
GSE66005,DEU,2015-02-17,0.0,0.0,0.0,0.0,0.0
GSE66004,DEU,2015-02-17,0.0,0.0,0.0,0.0,0.0
GSE78840,EST,2016-03-02,0.0,0.0,0.0,0.0,0.0
GSE87072,USA,2016-09-19,0.0,0.0,0.0,0.0,0.0
GSE39923,FRA,2012-08-07,0.0,0.0,0.0,0.0,0.0
GSE39299,DEU,2012-07-12,0.0,0.0,0.0,0.0,0.0
GSE89565,FRA,2016-11-04,0.0,0.0,0.0,0.0,0.0
GSE71187,CHN,2015-07-21,0.0,0.0,0.0,0.0,0.0
GSE71014,TWN,2015-07-16,0.0,0.0,0.0,0.0,0.0
GSE70880,CHN,2015-07-14,0.0,0.0,0.0,0.0,0.0
GSE69925,JPN,2015-06-16,0.0,0.0,0.0,0.0,0.0
GSE68801,USA,2015-05-12,0.0,0.0,0.0,0.0,0.0
GSE47755,FRA,2013-06-07,0.0,0.0,0.0,0.0,0.0
GSE34450,USA,2010-06-03,0.0,0.0,0.0,0.0,0.0
GSE17905,USA,2006-03-20,1.0,0.0,0.12810641469463846,0.0,3.256212829389277
GSE79378,USA,2016-03-18,0.0,0.0,0.0,0.0,0.0
GSE77962,NLD,2016-02-16,0.0,0.0,0.0,0.0,0.0
GSE94354,USA,2017-01-31,0.0,0.0,0.0,0.0,0.0
GSE94349,USA,2017-01-31,0.0,0.0,0.0,0.0,0.0
GSE94119,GBR,2017-01-26,0.0,0.0,0.0,0.0,0.0
GSE77540,ESP,2016-02-03,0.0,0.0,0.0,0.0,0.0
GSE87371,FRA,2016-09-26,0.0,0.0,0.0,0.0,0.0
GSE85570,NLD,2016-08-12,0.0,0.0,0.0,0.0,0.0
GSE87629,USA,2016-10-05,0.0,0.0,0.0,0.0,0.0
GSE83582,USA,2016-06-21,0.0,0.0,0.0,0.0,0.0
GSE93658,IRL,2017-01-16,0.0,0.0,0.0,0.0,0.0
GSE54219,NLD,2011-03-08,0.0,0.0,0.0,0.0,0.0
GSE27830,NLD,2011-03-08,0.0,0.0,0.0,0.0,0.0
GSE54129,CHN,2014-01-16,0.0,0.0,0.0,0.0,0.0
GSE93606,GBR,2017-01-13,0.0,0.0,0.0,0.0,0.0
GSE70353,USA,2015-06-28,0.0,0.0,0.0,0.0,0.0
GSE84043,CAN,2016-06-30,0.0,0.0,0.0,0.0,0.0
GSE86627,DEU,2016-09-09,0.0,0.0,0.0,0.0,0.0
GSE87411,USA,2016-09-27,0.0,0.0,0.0,0.0,0.0
GSE87491,USA,2016-09-29,0.0,0.0,0.0,0.0,0.0
GSE76885,USA,2016-01-14,0.0,0.0,0.0,0.0,0.0
GSE76262,GBR,2015-12-22,0.0,0.0,0.0,0.0,0.0
GSE74725,USA,2015-11-05,0.0,0.0,0.0,0.0,0.0
GSE59455,AUS,2014-07-16,0.0,0.0,0.0,0.0,0.0
GSE51244,USA,2012-10-12,0.0,0.0,0.0,0.0,0.0
GSE41568,USA,2012-10-12,0.0,0.0,0.0,0.0,0.0
GSE26942,USA,2011-01-27,0.0,0.0,0.0,0.0,0.0
GSE26901,USA,2011-01-27,0.0,0.0,0.0,0.0,0.0
GSE26899,USA,2011-01-27,0.0,0.0,0.0,0.0,0.0
GSE81692,USA,2016-05-20,0.0,0.0,0.0,0.0,0.0
GSE81690,USA,2016-05-20,0.0,0.0,0.0,0.0,0.0
GSE92781,USA,2016-12-22,0.0,0.0,0.0,0.0,0.0
GSE92708,USA,2016-12-21,0.0,0.0,0.0,0.0,0.0
GSE92689,USA,2016-12-21,0.0,0.0,0.0,0.0,0.0
GSE92538,USA,2016-12-19,0.0,1.0,0.0,0.756196473838767,4.7561964738387665
GSE70297,USA,2015-06-25,0.0,0.0,0.0,0.0,0.0
GSE64520,USA,2014-12-01,0.0,0.0,0.0,0.0,0.0
GSE89401,SWE,2016-11-01,0.0,0.0,0.0,0.0,0.0
GSE89399,SWE,2016-11-01,0.0,0.0,0.0,0.0,0.0
GSE67698,ITA,2015-11-20,0.0,0.0,0.0,0.0,0.0
GSE69683,USA,2015-06-09,0.0,0.9899598393574297,0.0,0.7490287210272207,4.708868078456939
GSE90953,USA,2016-12-06,0.0,0.0,0.0,0.0,0.0
GSE76009,CAN,2015-12-14,0.0,0.0,0.0,0.0,0.0
GSE76008,CAN,2015-12-15,0.0,0.0,0.0,0.0,0.0
GSE76004,CAN,2015-12-14,0.0,0.0,0.0,0.0,0.0
GSE90709,JPN,2016-10-17,0.0,0.0,0.0,0.0,0.0
GSE89194,USA,2016-10-17,0.0,1.0,0.0,0.7312849984336807,4.731284998433681
GSE75317,AUS,2015-11-23,0.0,0.0,0.0,0.0,0.0
GSE75315,AUS,2015-11-23,0.0,0.0,0.0,0.0,0.0
GSE85573,USA,2016-07-28,0.0,1.0,0.0,0.8968279974674838,4.896827997467484
GSE87650,GBR,2016-09-05,1.0,0.0,0.49749817705488486,0.0,3.9949963541097695
GSE86434,GBR,2016-09-05,1.0,0.0,0.2738535688904814,0.0,3.5477071377809626
GSE73638,GBR,2015-09-29,0.0,0.0,0.0,0.0,0.0
GSE83456,GBR,2016-06-16,0.0,0.0,0.0,0.0,0.0
GSE74553,USA,2015-10-30,0.0,0.0,0.0,0.0,0.0
GSE86216,USA,2016-08-30,0.0,0.0,0.0,0.0,0.0
GSE89253,USA,2016-10-27,0.0,0.0,0.0,0.0,0.0
GSE89252,USA,2016-10-27,0.0,0.0,0.0,0.0,0.0
GSE84152,USA,2016-07-07,0.0,0.0,0.0,0.0,0.0
GSE88887,USA,2016-10-18,0.0,0.9793388429752066,0.0,0.5089271598989261,4.426282531799752
GSE88886,USA,2016-10-18,0.0,1.0,0.0,0.5126977024579513,4.5126977024579515
GSE88885,USA,2016-10-18,0.0,1.0,0.0,0.5148843036509755,4.514884303650976
GSE88884,USA,2016-10-18,0.0,0.9642857142857143,0.0,0.5047924470602405,4.361935304203097
GSE86464,USA,2016-08-25,0.0,0.0,0.0,0.0,0.0
GSE88796,USA,2016-10-17,0.0,0.0,0.0,0.0,0.0
GSE88770,BEL,2016-10-14,0.0,0.0,0.0,0.0,0.0
GSE87801,USA,2016-10-11,0.0,0.0,0.0,0.0,0.0
GSE75285,USA,2015-11-20,1.0,0.93,0.8413500398655382,0.3540904179139495,8.756790497645026
GSE84799,USA,2016-07-25,0.0,0.0,0.0,0.0,0.0
GSE73661,BEL,2015-10-01,0.0,0.0,0.0,0.0,0.0
GSE76227,GBR,2015-12-21,0.0,0.0,0.0,0.0,0.0
GSE74357,USA,2015-10-26,0.0,0.0,0.0,0.0,0.0
GSE72925,USA,2015-09-10,0.0,0.0,0.0,0.0,0.0
GSE79873,BEL,2016-04-04,0.0,0.0,0.0,0.0,0.0
GSE86566,USA,2016-09-07,0.0,0.0,0.0,0.0,0.0
GSE51082,USA,2013-09-23,0.0,0.0,0.0,0.0,0.0
GSE74777,USA,2015-11-06,0.0,0.0,0.0,0.0,0.0
GSE44430,USA,2013-02-20,0.0,0.0,0.0,0.0,0.0
GSE86332,USA,2016-09-01,0.0,0.0,0.0,0.0,0.0
GSE86574,USA,2016-09-08,0.0,0.0,0.0,0.0,0.0
GSE73518,DEU,2015-09-28,0.0,0.0,0.0,0.0,0.0
GSE73517,DEU,2015-09-28,0.0,0.0,0.0,0.0,0.0
GSE66245,ESP,2015-02-19,0.0,0.0,0.0,0.0,0.0
GSE64073,JPN,2014-12-11,0.0,0.0,0.0,0.0,0.0
GSE86411,USA,2016-09-02,0.0,0.0,0.0,0.0,0.0
GSE83702,USA,2016-06-24,0.0,0.0,0.0,0.0,0.0
GSE76340,NLD,2015-12-24,0.0,0.0,0.0,0.0,0.0
GSE72829,GBR,2015-09-08,0.0,0.0,0.0,0.0,0.0
GSE72810,GBR,2015-09-08,0.0,0.0,0.0,0.0,0.0
GSE72809,GBR,2015-09-08,0.0,0.0,0.0,0.0,0.0
GSE85135,USA,2016-07-11,0.0,0.0,0.0,0.0,0.0
GSE84263,USA,2016-07-11,0.0,0.0,0.0,0.0,0.0
GSE84044,CHN,2016-07-05,0.0,0.0,0.0,0.0,0.0
GSE84422,USA,2016-07-14,0.0,1.0,0.0,0.42706964323039465,4.427069643230395
GSE62165,BEL,2014-10-08,0.0,0.0,0.0,0.0,0.0
GSE72605,USA,2015-08-25,0.0,0.0,0.0,0.0,0.0
GSE72377,USA,2015-08-25,0.0,0.0,0.0,0.0,0.0
GSE72376,USA,2015-08-25,0.0,0.0,0.0,0.0,0.0
GSE85426,MYS,2016-08-10,0.0,0.0,0.0,0.0,0.0
GSE67784,USA,2015-04-12,0.0,0.0,0.0,0.0,0.0
GSE58559,GBR,2014-06-16,0.0,0.0,0.0,0.0,0.0
GSE85176,FRA,2016-08-03,0.0,0.0,0.0,0.0,0.0
GSE79269,USA,2016-03-15,0.0,0.9827586206896551,0.0,0.2294844869922427,4.160518969750863
GSE77164,USA,2016-01-25,0.0,0.0,0.0,0.0,0.0
GSE64456,USA,2014-12-23,0.0,0.9765100671140939,0.0,0.31410373885561255,4.220144007311989
GSE79092,USA,2016-03-10,0.0,0.0,0.0,0.0,0.0
GSE71222,JPN,2015-07-22,0.0,0.0,0.0,0.0,0.0
GSE78068,JPN,2016-02-18,0.0,0.0,0.0,0.0,0.0
GSE83951,GBR,2016-07-01,0.0,0.0,0.0,0.0,0.0
GSE57387,USA,2014-05-07,0.0,0.0,0.0,0.0,0.0
GSE66162,GBR,2015-02-20,0.0,0.0,0.0,0.0,0.0
GSE83864,USA,2016-06-29,0.0,0.0,0.0,0.0,0.0
GSE59248,USA,2014-07-09,0.0,0.0,0.0,0.0,0.0
GSE59246,USA,2014-07-09,0.0,0.0,0.0,0.0,0.0
GSE84010,USA,2016-07-05,0.0,0.0,0.0,0.0,0.0
GSE83632,FRA,2016-06-22,0.0,0.0,0.0,0.0,0.0
GSE82042,USA,2016-05-30,0.0,0.0,0.0,0.0,0.0
GSE82023,USA,2016-05-30,0.0,0.0,0.0,0.0,0.0
GSE70951,USA,2015-07-14,0.0,0.0,0.0,0.0,0.0
GSE70947,USA,2015-07-15,0.0,0.0,0.0,0.0,0.0
